departamento_codigo,departamento,municipio_codigo,municipio,zona_codigo,zona,puesto_codigo,puesto,mesas
11,CAUCA,004,ALMAGUER,99,Zona 99,01,CAQUIONA,5
11,CAUCA,004,ALMAGUER,99,Zona 99,05,EL PEÑOL (LA HONDA),3
11,CAUCA,004,ALMAGUER,99,Zona 99,09,EL TABLON,2
11,CAUCA,004,ALMAGUER,99,Zona 99,10,GONZALO,1
11,CAUCA,004,ALMAGUER,99,Zona 99,11,HIGUERAS (LA PILA),1
11,CAUCA,004,ALMAGUER,99,Zona 99,12,HUMOS O EL HATO,2
11,CAUCA,004,ALMAGUER,99,Zona 99,13,LLACUANAS,4
11,CAUCA,004,ALMAGUER,99,Zona 99,15,MARMATO (TARABITA),2
11,CAUCA,004,ALMAGUER,99,Zona 99,16,PRIMAVERA,1
11,CAUCA,004,ALMAGUER,99,Zona 99,17,SAN JORGE (LA HERRADURA),6
11,CAUCA,004,ALMAGUER,99,Zona 99,60,SAUJI,1
11,CAUCA,004,ALMAGUER,00,Zona 00,00,PUESTO CABECERA MUNICIPAL,15
11,CAUCA,005,ARGELIA,99,Zona 99,02,BETANIA,1
11,CAUCA,005,ARGELIA,99,Zona 99,03,BOLIVIA,1
11,CAUCA,005,ARGELIA,99,Zona 99,04,EL DIVISO (PALOMOCHO),3
11,CAUCA,005,ARGELIA,99,Zona 99,05,EL MANGO,8
11,CAUCA,005,ARGELIA,99,Zona 99,06,EL PLATEADO,16
11,CAUCA,005,ARGELIA,99,Zona 99,08,LA BELLEZA,3
11,CAUCA,005,ARGELIA,99,Zona 99,10,LA FLORIDA,1
11,CAUCA,005,ARGELIA,99,Zona 99,12,EL NARANJAL,1
11,CAUCA,005,ARGELIA,99,Zona 99,16,LA EMBOSCADA,5
11,CAUCA,005,ARGELIA,99,Zona 99,25,PUERTO RICO,4
11,CAUCA,005,ARGELIA,99,Zona 99,29,SAN JUAN DE LA GUADUA,1
11,CAUCA,005,ARGELIA,99,Zona 99,35,SANTA CLARA,1
11,CAUCA,005,ARGELIA,99,Zona 99,75,SINAI,5
11,CAUCA,005,ARGELIA,00,Zona 00,00,PUESTO CABECERA MUNICIPAL,23
11,CAUCA,006,BALBOA,99,Zona 99,02,EL VIJAL,2
11,CAUCA,006,BALBOA,99,Zona 99,04,GUADUALITO,1
11,CAUCA,006,BALBOA,99,Zona 99,05,LA BERMEJA O PUERTO BERMEJA,4
11,CAUCA,006,BALBOA,99,Zona 99,06,LA PLANADA,4
11,CAUCA,006,BALBOA,99,Zona 99,07,LA LOMITA O LOMITAS,2
11,CAUCA,006,BALBOA,99,Zona 99,08,OLAYA,3
11,CAUCA,006,BALBOA,99,Zona 99,09,PURETO,3
11,CAUCA,006,BALBOA,99,Zona 99,10,SAN ALFONSO,5
11,CAUCA,006,BALBOA,99,Zona 99,11,PLAN GRANDE,1
11,CAUCA,006,BALBOA,99,Zona 99,12,CAMPOALEGRE,1
11,CAUCA,006,BALBOA,00,Zona 00,00,PUESTO CABECERA MUNICIPAL,29
11,CAUCA,007,BOLIVAR,98,Zona 98,01,CARCEL,1
11,CAUCA,007,BOLIVAR,99,Zona 99,01,CAPELLANIAS,1
11,CAUCA,007,BOLIVAR,99,Zona 99,02,CERRO PELADO (CERRO PELADO BAJO),2
11,CAUCA,007,BOLIVAR,99,Zona 99,03,CHALGUAYACO,2
11,CAUCA,007,BOLIVAR,99,Zona 99,04,BAJO LLANO,1
11,CAUCA,007,BOLIVAR,99,Zona 99,05,EL CARMEN,2
11,CAUCA,007,BOLIVAR,99,Zona 99,06,BUTUYACO,1
11,CAUCA,007,BOLIVAR,99,Zona 99,07,EL RODEO,2
11,CAUCA,007,BOLIVAR,99,Zona 99,08,MORALES,1
11,CAUCA,007,BOLIVAR,99,Zona 99,09,GUACHICONO,1
11,CAUCA,007,BOLIVAR,99,Zona 99,10,EL BOQUERON,1
11,CAUCA,007,BOLIVAR,99,Zona 99,11,EL SALTO,1
11,CAUCA,007,BOLIVAR,99,Zona 99,12,LA PLAYA DE SAN JORGE,1
11,CAUCA,007,BOLIVAR,99,Zona 99,13,LERMA,3
11,CAUCA,007,BOLIVAR,99,Zona 99,14,LA MEDINA,2
